Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-D7-A6F2-01A-12R-A31P-31	0.03869482	0	0.054562544	0.039671688	0	0.346523425	0.000558428	0	0.092928724	0	0	0.040286006	0.005131014	0.187761857	0.041256878	0.105646539	0	0	0.038463859	0	0.008514217	0	1.150803297
TCGA-BR-7717-01A-11R-2055-13	0.124016012	0	0.027202156	0.115033819	0	0.105450276	0	0.016647602	0.120652051	0	0	0.038871803	0.007515441	0.169785477	0.063194863	0.136935231	0	0	0	0.069633431	0	0.005061837	0.331127489
TCGA-VQ-A8DZ-01A-11R-A36D-31	0.0278666	0	0.104296244	0.04809904	0	0.180434113	0.053701511	0	0.063360962	0	0	0.025571548	0	0.169502709	0.060834134	0.106847802	0.012702558	0.013653004	0.052544171	0.00154249	0	0.079043113	0.48494806
TCGA-CG-5732-01A-11R-1602-13	0.028178135	0.03312026	0.257412782	0.184041278	0	0.134073716	0	0	0.11164315	0	0	0.020692899	0.006484963	0.079299657	0.029354482	0.06897365	0.014851959	0.001121367	0	0.018798964	0	0.011952737	0.747963897
TCGA-CG-4462-01A-01R-1157-13	0.042851524	0	0.005079792	0	0	0.184494988	0.014894138	0	0	0	0.059260882	0	0.007631727	0.054652485	0.00582237	0.216473141	0.038176897	0.045605254	0	0.071421474	0.038015396	0.215619929	1.939375701
TCGA-BR-4191-01A-02R-1131-13	0.023197569	0	0.030215653	0.066856309	0	0.156312965	0.082118164	0	0.019454897	0	0.024903474	0	0.055547299	0.054643018	0.04359747	0.214302193	0.120259937	0	0.025876761	0	0.070829185	0.011885106	1.941462781
TCGA-IN-8663-01A-11R-2402-13	0	0	0.011246307	0.131695054	0	0.106843025	0.054745339	0.053891608	0.036194809	0	0	0.034922709	0	0.213405378	0.075044112	0.200675232	0.031838156	0.010482604	0.039015667	0	0	0	12.5391219
TCGA-R5-A7ZI-01A-11R-A354-31	0.010827002	0.009400652	0.043769967	0.217823444	0	0.065721518	0.110896125	0.059558524	0.103293449	0	0.013386704	0	0	0.024755094	0.040050484	0.178356214	0	0.091076596	0	0.02843407	0	0.002650156	6.413157184
TCGA-BR-8686-01A-11R-2402-13	0.07181179	0	0.072251329	0.22032054	0	0.207972681	0.028912041	0.002965288	0.048481758	0.026218493	0	0	0.013710808	0	0.143494425	0.12866148	0.006176005	0	0.018736501	0.010286863	0	0	1.104432713
TCGA-CD-A486-01A-11R-A24K-31	0.033691366	0	0.056883086	0.03033656	0	0.014614491	0.007575413	0.026157769	0.07120033	0.000370895	0	0	0	0.50010629	0.034480159	0.179123714	0	0	0	0.044514931	0	0.000944995	0.629348545
TCGA-VQ-A8P3-01A-11R-A36D-31	0.037772849	0	0.009147451	0.35902778	0	0.112773753	0.083207102	0.026572433	0.075813107	0	0	0.061292539	0.005404401	0.048412937	0.049424887	0.045952582	0.015683422	0	0.069514758	0	0	0	1.586008167
TCGA-BR-4256-01A-01R-1131-13	0.037443642	0	0.00276192	0.073032779	0	0.123902724	0.076694656	0.020485644	0.01226618	0	0.047609874	0	0.064118254	0.106702783	0.062728185	0.132224702	0	0.024034351	0.105996117	0.029056683	0	0.080941505	5.262207822
TCGA-BR-6455-01A-11R-1802-13	0.063440622	0	0	0.25483019	0	0.077428434	0.04957658	0.025097606	0.072478854	0	0.012518045	0	0.026244172	0.14956769	0.110744144	0.129458425	0.016883297	0	0	0.01173194	0	0	0.905926202
TCGA-BR-8372-01A-11R-2343-13	0	0.017766684	0.009336171	0.190767605	0	0.03181507	0.181550819	0.058349925	0.01291068	0.004339387	0	0.00359694	0	0.131640294	0.10289316	0.163187766	0.064151103	0	0.026636794	0	0	0.001057602	3.927072542
TCGA-HU-A4H8-01A-11R-A251-31	0	0.008309468	0.027738272	0.097020811	0	0.202568598	0.073298948	0.079836906	0.049809993	0	0.019189779	0.014308119	0.002795285	0.123266699	0.085520555	0.140254202	0	0.035276985	0.04080538	0	0	0	1.300740446
TCGA-CG-4444-01A-01R-1157-13	0.077078857	0	0.041655615	0.033299168	0	0.257206342	0.036252234	0	0.046603565	0.005891252	0	0	0.005131569	0.03828901	0.054693678	0.248084938	0.015132289	0.01028017	0	0.086239036	0	0.044162278	1.224467292
TCGA-BR-A4CS-01A-11R-A24K-31	0.016262065	0	0.020970457	0.015713969	0	0.253207232	0.025311266	0	0.011073284	0	0	0	0.051348566	0.157396188	0.043732591	0.043325892	0	0.106175307	0	0.153771056	0	0.101712127	0.863703036
TCGA-IN-A6RS-01A-12R-A354-31	0.0774254	0	0.062151283	0.127525701	0	0.057225022	0.162315426	0.023134673	0.038568666	0	0.039700132	0	0	0.175593188	0.046593333	0.065322483	0	0.015809959	0	0.098802505	0.002410367	0.007421863	1.035760091
TCGA-CD-A487-01A-21R-A24K-31	0.041537085	0	0	0.090670403	0	0.109615959	0	0.018867397	0.049639155	0	0	0.108718718	0	0	0.010034794	0.085947813	0	0.103610423	0.152806173	0	0	0.228552078	0.575491376
